h,m_b,W
12,35,135330.54440925914
12,40,132204.51938756852
12,45,127370.00646189824
12,50,122585.13135418331
12,55,122068.6859375083
13,0,120966.6310500741
13,5,127697.4752603934
13,10,126451.8407512559
13,15,125345.61468750003
13,20,119618.28695811785
13,25,118265.25893603342
13,30,112334.00643229333
13,35,113604.34393475001
13,40,111715.61922551841
13,45,111912.92593748998
13,50,111042.3129502271
13,55,112529.0259544979
14,0,111753.27398803023
14,5,110122.00070786575
14,10,111224.76757810336
14,15,110183.03924726348
14,20,117037.07343753328
14,25,115400.50303094981
14,30,115719.05814508104
14,35,118128.20604168996
14,40,110983.38145832998
14,45,105561.05187291918
14,50,106089.66283857662
14,55,102794.0229100802
15,0,100398.5848176867
15,5,96539.34085939665
15,10,97717.96679690538
15,15,105351.57927085996
15,20,106135.0110633389
15,25,106815.13565340405
15,30,102468.3013541334
15,35,102720.42002603336
15,40,98785.2512140575
15,45,100305.74500939128
15,50,93830.13468749665
15,55,95905.67441327001
16,0,91175.61413615488
16,5,95910.26585937665
16,10,94577.92016521882
16,15,89974.74765622671
16,20,90010.65089210137
16,25,88156.19201620594
16,30,90458.98544271002
16,35,92555.42084566216
16,40,92984.53286455003
16,45,93287.84282937033
16,50,93875.1325250736
16,55,97768.79895833747
17,0,98415.03054217785
17,5,95019.23575521666
17,10,97244.042902539
17,15,97891.31152998659
17,20,96589.40153647664
17,25,94347.33839210811
17,30,95721.11247393671
17,35,94163.8945180943
17,40,95535.34101566994
17,45,94347.96241055893
17,50,95584.44411457001
17,55,91478.32520351264
18,0,92783.77519396984
18,5,89736.17431309063
18,10,90824.90169270002
18,15,92735.30283854666
18,20,96378.20790223309
18,25,90855.65838541335
18,30,95418.80284620196
18,35,92930.41455727669
18,40,87225.46346274074
18,45,92670.45018228002
18,50,90952.47859375
18,55,89701.85570046186
19,0,91982.55867189333
19,5,89965.00959520137
19,10,88618.6453439731
19,15,89946.34119791997
19,20,88890.97181731211
19,25,87824.48516149327
19,30,88105.32867739731
19,35,89727.42736977669
19,40,89184.15239656078
19,45,89608.53703126333
19,50,86407.68093750998
19,55,88252.58257520667
20,0,87923.78111891274
20,5,88633.08424480332
