consumption,Year,Month,DayOfYear,DayOfWeek,DayType,Hour,Minute,Season
112290.3944,2018,7,185,2,1,18,0,2
113394.74006666667,2018,7,185,2,1,18,15,2
115441.66520000002,2018,7,185,2,1,18,30,2
114455.04300000002,2018,7,185,2,1,18,45,2
109301.474,2018,7,185,2,1,19,0,2
103113.06566666666,2018,7,185,2,1,19,15,2
101670.70526666667,2018,7,185,2,1,19,30,2
99619.92733333331,2018,7,185,2,1,19,45,2
97498.30928571429,2018,7,185,2,1,20,0,2
96486.54899999998,2018,7,185,2,1,20,15,2
97164.2092,2018,7,185,2,1,20,30,2
95119.19273333332,2018,7,185,2,1,20,45,2
98584.65406666667,2018,7,185,2,1,21,0,2
95705.6174,2018,7,185,2,1,21,15,2
93511.37566666664,2018,7,185,2,1,21,30,2
92457.09193333333,2018,7,185,2,1,21,45,2
97196.68966666664,2018,7,185,2,1,22,0,2
96759.885,2018,7,185,2,1,22,15,2
95754.48240000001,2018,7,185,2,1,22,30,2
95924.34319999999,2018,7,185,2,1,22,45,2
96201.13966666667,2018,7,185,2,1,23,0,2
96288.9534,2018,7,185,2,1,23,15,2
97932.56394117646,2018,7,185,2,1,23,30,2
97198.67113333334,2018,7,185,2,1,23,45,2
96344.98333333332,2018,7,186,3,1,0,0,2
95816.40492857143,2018,7,186,3,1,0,15,2
90432.78033333336,2018,7,186,3,1,0,30,2
88803.48966666666,2018,7,186,3,1,0,45,2
87970.94826666666,2018,7,186,3,1,1,0,2
90234.04906666667,2018,7,186,3,1,1,15,2
93380.402,2018,7,186,3,1,1,30,2
93671.56393333334,2018,7,186,3,1,1,45,2
97357.33626666667,2018,7,186,3,1,2,0,2
99836.69320000001,2018,7,186,3,1,2,15,2
99750.095,2018,7,186,3,1,2,30,2
103052.95539999999,2018,7,186,3,1,2,45,2
102666.08286666666,2018,7,186,3,1,3,0,2
101233.59939999999,2018,7,186,3,1,3,15,2
105923.6854,2018,7,186,3,1,3,30,2
109732.77035714286,2018,7,186,3,1,3,45,2
121669.60433333337,2018,7,186,3,1,4,0,2
128796.61066666665,2018,7,186,3,1,4,15,2
134756.23200000002,2018,7,186,3,1,4,30,2
156601.41666666666,2018,7,186,3,1,4,45,2
167660.11666666664,2018,7,186,3,1,5,0,2
161246.15733333337,2018,7,186,3,1,5,15,2
163662.36400000003,2018,7,186,3,1,5,30,2
176027.7493333333,2018,7,186,3,1,5,45,2
160393.22466666665,2018,7,186,3,1,6,0,2
159082.21333333335,2018,7,186,3,1,6,15,2
174341.394,2018,7,186,3,1,6,30,2
167445.68333333332,2018,7,186,3,1,6,45,2
161643.47599999997,2018,7,186,3,1,7,0,2
155155.184,2018,7,186,3,1,7,15,2
156722.18882352937,2018,7,186,3,1,7,30,2
155488.34733333334,2018,7,186,3,1,7,45,2
152179.81785714286,2018,7,186,3,1,8,0,2
154862.494,2018,7,186,3,1,8,15,2
160011.16866666666,2018,7,186,3,1,8,30,2
155896.752,2018,7,186,3,1,8,45,2
153961.386,2018,7,186,3,1,9,0,2
156490.48133333333,2018,7,186,3,1,9,15,2
154846.65133333337,2018,7,186,3,1,9,30,2
156364.75733333334,2018,7,186,3,1,9,45,2
156260.88400000002,2018,7,186,3,1,10,0,2
159370.95733333332,2018,7,186,3,1,10,15,2
157807.60466666668,2018,7,186,3,1,10,30,2
164140.1733333333,2018,7,186,3,1,10,45,2
162318.59866666666,2018,7,186,3,1,11,0,2
164386.78066666666,2018,7,186,3,1,11,15,2
164982.358,2018,7,186,3,1,11,30,2
156451.16199999998,2018,7,186,3,1,11,45,2
152315.43357142856,2018,7,186,3,1,12,0,2
152524.42399999997,2018,7,186,3,1,12,15,2
145120.95599999998,2018,7,186,3,1,12,30,2
135687.54933333333,2018,7,186,3,1,12,45,2
130460.59266666668,2018,7,186,3,1,13,0,2
127594.48326666668,2018,7,186,3,1,13,15,2
125224.59679999998,2018,7,186,3,1,13,30,2
123234.07973333329,2018,7,186,3,1,13,45,2
120656.43346666665,2018,7,186,3,1,14,0,2
119179.99766666668,2018,7,186,3,1,14,15,2
116911.10606666667,2018,7,186,3,1,14,30,2
119268.05213333333,2018,7,186,3,1,14,45,2
110772.19826666666,2018,7,186,3,1,15,0,2
109577.58986666665,2018,7,186,3,1,15,15,2
108853.61088235294,2018,7,186,3,1,15,30,2
106085.01426666665,2018,7,186,3,1,15,45,2
107884.00266666668,2018,7,186,3,1,16,0,2
104936.04235714285,2018,7,186,3,1,16,15,2
105938.24393333333,2018,7,186,3,1,16,30,2
110492.38733333335,2018,7,186,3,1,16,45,2
108098.03080000001,2018,7,186,3,1,17,0,2
108819.52946666669,2018,7,186,3,1,17,15,2
105333.14466666665,2018,7,186,3,1,17,30,2
103879.28186666666,2018,7,186,3,1,17,45,2
102277.88660000003,2018,7,186,3,1,18,0,2
98875.53480000001,2018,7,186,3,1,18,15,2
101029.38246666666,2018,7,186,3,1,18,30,2
97707.09866666667,2018,7,186,3,1,18,45,2
99030.94893333332,2018,7,186,3,1,19,0,2
95932.64759999998,2018,7,186,3,1,19,15,2
98115.01966666667,2018,7,186,3,1,19,30,2
96276.00207142858,2018,7,186,3,1,19,45,2
95653.99279999999,2018,7,186,3,1,20,0,2
90109.88566666668,2018,7,186,3,1,20,15,2
89338.26,2018,7,186,3,1,20,30,2
89149.3406,2018,7,186,3,1,20,45,2
87884.9162,2018,7,186,3,1,21,0,2
91589.35633333333,2018,7,186,3,1,21,15,2
92982.74526666666,2018,7,186,3,1,21,30,2
92344.84733333331,2018,7,186,3,1,21,45,2
90487.93406666668,2018,7,186,3,1,22,0,2
91574.84013333332,2018,7,186,3,1,22,15,2
91759.67993333333,2018,7,186,3,1,22,30,2
90487.08313333333,2018,7,186,3,1,22,45,2
86202.55466666669,2018,7,186,3,1,23,0,2
84904.57566666667,2018,7,186,3,1,23,15,2
86350.6125882353,2018,7,186,3,1,23,30,2
85281.43773333333,2018,7,186,3,1,23,45,2
82849.2557142857,2018,7,187,4,1,0,0,2
86152.37466666666,2018,7,187,4,1,0,15,2
84729.77353333333,2018,7,187,4,1,0,30,2
86499.92466666666,2018,7,187,4,1,0,45,2
